"engine_id","max_theta_abs_diff","max_phq_sum_abs_diff","max_phq_prob_abs_diff","max_cutoff_abs_diff","exact_fields_ok"
"ssq10_sens_at_spec_1f_overall",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,4.44089209850063e-16,TRUE
"ssq10_sens_at_spec_1f_sex",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,4.66293670342566e-15,TRUE
"ssq10_sens_at_spec_1f_agegrp",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,2.66453525910038e-15,TRUE
"ssq10_sens_at_spec_1f_sex_agegrp",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,3.99680288865056e-15,TRUE
"ssq10_spec_at_sens_1f_overall",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,2.22044604925031e-16,TRUE
"ssq10_spec_at_sens_1f_sex",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,3.33066907387547e-16,TRUE
"ssq10_spec_at_sens_1f_agegrp",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,3.77475828372553e-15,TRUE
"ssq10_spec_at_sens_1f_sex_agegrp",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,3.33066907387547e-15,TRUE
"ssq10_youden_1f_overall",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,2.22044604925031e-16,TRUE
"ssq10_youden_1f_sex",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,2.22044604925031e-16,TRUE
"ssq10_youden_1f_agegrp",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,4.88498130835069e-15,TRUE
"ssq10_youden_1f_sex_agegrp",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,3.33066907387547e-15,TRUE
"ssq10_tcc_1f_overall",0.000199870687856762,6.98689611808023e-05,3.77768599515033e-09,2.22044604925031e-16,TRUE
