Analysis,Spec,Window,WindowLabel,Comparison,ComparatorCondition,UnrestrictedClass,UnrestrictedN,OverlapN,DroppedN,OverlapPct
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Low Maternal Absence, Improving SES",623,568,55,0.9117174959871589
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Low Maternal Absence, Low SES",2555,2073,482,0.8113502935420743
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Rising Maternal Absence, Low SES",313,307,6,0.9808306709265175
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"High Maternal Absence, Low SES",687,198,489,0.28820960698689957
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Low Maternal Absence, Improving SES",623,373,250,0.5987158908507223
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Low Maternal Absence, Low SES",2555,742,1813,0.29041095890410956
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Rising Maternal Absence, Low SES",313,154,159,0.49201277955271566
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"High Maternal Absence, Improving SES",616,581,35,0.9431818181818182
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"High Maternal Absence, Low SES",664,634,30,0.9548192771084337
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Low Maternal Absence, Higher SES",828,783,45,0.9456521739130435
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Low Maternal Absence, Improving SES",1190,1109,81,0.9319327731092437
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Low Maternal Absence, Low SES",1634,1405,229,0.8598531211750307
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Rising Maternal Absence, Improving SES",338,338,0,1
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"High Maternal Absence, Improving SES",616,456,160,0.7402597402597403
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"High Maternal Absence, Low SES",664,456,208,0.6867469879518072
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Low Maternal Absence, Higher SES",828,599,229,0.7234299516908212
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Low Maternal Absence, Improving SES",1190,853,337,0.7168067226890756
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Low Maternal Absence, Low SES",1634,861,773,0.5269277845777234
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Rising Maternal Absence, Improving SES",338,253,85,0.7485207100591716
