"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"SCHL","School disengagement","Mediator",8,249,72,0.289156626506024,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"SCSP","Low social support","Mediator",7,249,23,0.0923694779116466,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"VLNC","Violence exposure","Mediator",6,249,78,0.313253012048193,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"DNKA","Alcohol use","Mediator",2,945,326,0.344973544973545,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"DPBN","Depression","Outcome",1,908,54,0.0594713656387665,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"ESXC","Ever had sexual intercourse","Mediator",3,906,431,0.475717439293598,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"FDSC","Food insecurity","Mediator",4,945,276,0.292063492063492,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"GOVG","No government grant receipt","Mediator",5,945,545,0.576719576719577,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"SCHL","School disengagement","Mediator",8,945,295,0.312169312169312,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"SCSP","Low social support","Mediator",7,943,96,0.101802757158006,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable High Maternal Absence",945,"VLNC","Violence exposure","Mediator",6,945,273,0.288888888888889,0.941391534391534
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"DNKA","Alcohol use","Mediator",2,2881,967,0.335647344671989,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"DPBN","Depression","Outcome",1,2812,155,0.0551209103840683,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"ESXC","Ever had sexual intercourse","Mediator",3,2784,1271,0.456537356321839,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"FDSC","Food insecurity","Mediator",4,2881,866,0.300590072891357,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"GOVG","No government grant receipt","Mediator",5,2881,1734,0.601874349184311,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"SCHL","School disengagement","Mediator",8,2881,893,0.309961818812912,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"SCSP","Low social support","Mediator",7,2881,278,0.0964942728219368,0.966412009718847
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Low Maternal Absence",2881,"VLNC","Violence exposure","Mediator",6,2881,876,0.30406108989934,0.966412009718847
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"DNKA","Alcohol use","Mediator",2,821,233,0.283800243605359,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"DPBN","Depression","Outcome",1,821,25,0.0304506699147381,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"ESXC","Ever had sexual intercourse","Mediator",3,810,180,0.222222222222222,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"FDSC","Food insecurity","Mediator",4,821,198,0.241169305724726,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"GOVG","No government grant receipt","Mediator",5,821,323,0.393422655298417,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"SCHL","School disengagement","Mediator",8,821,63,0.0767356881851401,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"SCSP","Low social support","Mediator",7,821,88,0.107186358099878,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,"VLNC","Violence exposure","Mediator",6,821,271,0.330085261875761,0.884171741778319
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"DNKA","Alcohol use","Mediator",2,349,102,0.292263610315186,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"DPBN","Depression","Outcome",1,349,14,0.0401146131805158,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"ESXC","Ever had sexual intercourse","Mediator",3,348,54,0.155172413793103,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"FDSC","Food insecurity","Mediator",4,349,67,0.191977077363897,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"GOVG","No government grant receipt","Mediator",5,349,176,0.504297994269341,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"SCHL","School disengagement","Mediator",8,349,24,0.0687679083094556,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"SCSP","Low social support","Mediator",7,349,29,0.0830945558739255,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,"VLNC","Violence exposure","Mediator",6,349,94,0.269340974212034,0.867051575931232
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"DNKA","Alcohol use","Mediator",2,355,112,0.315492957746479,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"DPBN","Depression","Outcome",1,355,11,0.0309859154929577,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"ESXC","Ever had sexual intercourse","Mediator",3,350,69,0.197142857142857,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"FDSC","Food insecurity","Mediator",4,355,82,0.230985915492958,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"GOVG","No government grant receipt","Mediator",5,355,144,0.405633802816901,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"SCHL","School disengagement","Mediator",8,355,30,0.0845070422535211,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"SCSP","Low social support","Mediator",7,355,34,0.0957746478873239,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",355,"VLNC","Violence exposure","Mediator",6,355,124,0.349295774647887,0.820816901408451
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"DNKA","Alcohol use","Mediator",2,81,22,0.271604938271605,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"DPBN","Depression","Outcome",1,81,2,0.0246913580246914,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"ESXC","Ever had sexual intercourse","Mediator",3,79,12,0.151898734177215,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"FDSC","Food insecurity","Mediator",4,81,13,0.160493827160494,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"GOVG","No government grant receipt","Mediator",5,81,46,0.567901234567901,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"SCHL","School disengagement","Mediator",8,81,4,0.0493827160493827,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"SCSP","Low social support","Mediator",7,81,6,0.0740740740740741,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Higher SES",81,"VLNC","Violence exposure","Mediator",6,81,23,0.283950617283951,0.891135802469136
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"DNKA","Alcohol use","Mediator",2,2103,732,0.348074179743224,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"DPBN","Depression","Outcome",1,2097,91,0.0433953266571292,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"ESXC","Ever had sexual intercourse","Mediator",3,2058,744,0.361516034985423,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"FDSC","Food insecurity","Mediator",4,2103,578,0.274845458868283,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"GOVG","No government grant receipt","Mediator",5,2103,1144,0.543984783642416,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"SCHL","School disengagement","Mediator",8,2103,359,0.170708511650024,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"SCSP","Low social support","Mediator",7,2103,210,0.0998573466476462,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,"VLNC","Violence exposure","Mediator",6,2103,702,0.333808844507846,0.961819305753685
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"DNKA","Alcohol use","Mediator",2,791,276,0.348925410872314,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"DPBN","Depression","Outcome",1,790,38,0.0481012658227848,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"ESXC","Ever had sexual intercourse","Mediator",3,786,205,0.260814249363868,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"FDSC","Food insecurity","Mediator",4,791,149,0.188369152970923,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"GOVG","No government grant receipt","Mediator",5,791,447,0.565107458912769,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"SCHL","School disengagement","Mediator",8,791,105,0.132743362831858,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"SCSP","Low social support","Mediator",7,791,73,0.0922882427307206,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,"VLNC","Violence exposure","Mediator",6,791,235,0.297092288242731,0.890786346396966
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"DNKA","Alcohol use","Mediator",2,591,203,0.343485617597293,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"DPBN","Depression","Outcome",1,589,24,0.0407470288624788,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"ESXC","Ever had sexual intercourse","Mediator",3,583,158,0.271012006861063,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"FDSC","Food insecurity","Mediator",4,591,95,0.160744500846024,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"GOVG","No government grant receipt","Mediator",5,591,348,0.588832487309645,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"SCHL","School disengagement","Mediator",8,591,93,0.157360406091371,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"SCSP","Low social support","Mediator",7,591,58,0.0981387478849408,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,"VLNC","Violence exposure","Mediator",6,591,189,0.319796954314721,0.803539763113367
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"DNKA","Alcohol use","Mediator",2,393,145,0.368956743002545,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"DPBN","Depression","Outcome",1,389,27,0.0694087403598972,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"ESXC","Ever had sexual intercourse","Mediator",3,385,186,0.483116883116883,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"FDSC","Food insecurity","Mediator",4,393,92,0.234096692111959,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"GOVG","No government grant receipt","Mediator",5,393,251,0.638676844783715,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"SCHL","School disengagement","Mediator",8,393,119,0.302798982188295,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"SCSP","Low social support","Mediator",7,393,35,0.089058524173028,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,"VLNC","Violence exposure","Mediator",6,393,115,0.292620865139949,0.561368956743003
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"DNKA","Alcohol use","Mediator",2,428,158,0.369158878504673,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"DPBN","Depression","Outcome",1,426,25,0.0586854460093897,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"ESXC","Ever had sexual intercourse","Mediator",3,415,194,0.467469879518072,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"FDSC","Food insecurity","Mediator",4,428,127,0.296728971962617,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"GOVG","No government grant receipt","Mediator",5,428,253,0.591121495327103,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"SCHL","School disengagement","Mediator",8,428,139,0.324766355140187,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"SCSP","Low social support","Mediator",7,428,45,0.105140186915888,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,"VLNC","Violence exposure","Mediator",6,428,144,0.336448598130841,0.617476635514019
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"DNKA","Alcohol use","Mediator",2,1255,445,0.354581673306773,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"DPBN","Depression","Outcome",1,1228,86,0.0700325732899023,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"ESXC","Ever had sexual intercourse","Mediator",3,1213,674,0.555647155812036,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"FDSC","Food insecurity","Mediator",4,1255,444,0.353784860557769,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"GOVG","No government grant receipt","Mediator",5,1255,799,0.636653386454183,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"SCHL","School disengagement","Mediator",8,1255,452,0.360159362549801,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"SCSP","Low social support","Mediator",7,1254,129,0.102870813397129,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Late Improvement from Chronic Low SES",1255,"VLNC","Violence exposure","Mediator",6,1255,441,0.351394422310757,0.876205577689243
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"DNKA","Alcohol use","Mediator",2,308,116,0.376623376623377,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"DPBN","Depression","Outcome",1,307,16,0.0521172638436482,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"ESXC","Ever had sexual intercourse","Mediator",3,303,144,0.475247524752475,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"FDSC","Food insecurity","Mediator",4,308,89,0.288961038961039,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"GOVG","No government grant receipt","Mediator",5,308,177,0.574675324675325,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"SCHL","School disengagement","Mediator",8,308,92,0.298701298701299,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"SCSP","Low social support","Mediator",7,308,28,0.0909090909090909,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Minimal Low SES",308,"VLNC","Violence exposure","Mediator",6,308,101,0.327922077922078,0.615178571428571
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"DNKA","Alcohol use","Mediator",2,399,143,0.358395989974937,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"DPBN","Depression","Outcome",1,396,25,0.0631313131313131,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"ESXC","Ever had sexual intercourse","Mediator",3,393,148,0.376590330788804,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"FDSC","Food insecurity","Mediator",4,399,82,0.205513784461153,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"GOVG","No government grant receipt","Mediator",5,399,229,0.573934837092732,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"SCHL","School disengagement","Mediator",8,399,82,0.205513784461153,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"SCSP","Low social support","Mediator",7,399,34,0.0852130325814536,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Persistent Moderate Low SES",399,"VLNC","Violence exposure","Mediator",6,399,119,0.298245614035088,0.60078947368421
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"DNKA","Alcohol use","Mediator",2,614,209,0.340390879478827,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"DPBN","Depression","Outcome",1,613,27,0.0440456769983687,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"ESXC","Ever had sexual intercourse","Mediator",3,604,193,0.31953642384106,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"FDSC","Food insecurity","Mediator",4,614,154,0.250814332247557,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"GOVG","No government grant receipt","Mediator",5,614,327,0.53257328990228,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"SCHL","School disengagement","Mediator",8,614,102,0.166123778501629,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"SCSP","Low social support","Mediator",7,614,71,0.115635179153094,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Higher SES",614,"VLNC","Violence exposure","Mediator",6,614,167,0.271986970684039,0.639244299674267
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"DNKA","Alcohol use","Mediator",2,1577,531,0.336715282181357,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"DPBN","Depression","Outcome",1,1498,97,0.0647530040053405,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"ESXC","Ever had sexual intercourse","Mediator",3,1495,861,0.575919732441472,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"FDSC","Food insecurity","Mediator",4,1577,568,0.360177552314521,0.845961318960051
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,"GOVG","No government grant receipt","Mediator",5,1577,984,0.623969562460368,0.845961318960051
