"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"DNKA","Alcohol use","Mediator",2,2370,819,0.345569620253165,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"DPBN","Depression","Outcome",1,2365,103,0.0435517970401691,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"ESXC","Ever had sexual intercourse","Mediator",3,2333,943,0.404200600085727,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"FDSC","Food insecurity","Mediator",4,2370,657,0.277215189873418,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"GOVG","No government grant receipt","Mediator",5,2370,1391,0.586919831223629,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"SCHL","School disengagement","Mediator",8,2370,524,0.221097046413502,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"SCSP","Low social support","Mediator",7,2370,235,0.0991561181434599,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2370,"VLNC","Violence exposure","Mediator",6,2370,753,0.317721518987342,0.965505063291139
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"DNKA","Alcohol use","Mediator",2,274,90,0.328467153284672,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"DPBN","Depression","Outcome",1,274,19,0.0693430656934307,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"ESXC","Ever had sexual intercourse","Mediator",3,273,113,0.413919413919414,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"FDSC","Food insecurity","Mediator",4,274,76,0.277372262773723,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"GOVG","No government grant receipt","Mediator",5,274,152,0.554744525547445,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"SCHL","School disengagement","Mediator",8,274,62,0.226277372262774,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"SCSP","Low social support","Mediator",7,274,25,0.0912408759124088,0.8475
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted","Early Peak, Declining Maternal Absence",274,"VLNC","Violence exposure","Mediator",6,274,87,0.317518248175182,0.8475
