Analysis,Spec,Window,WindowLabel,Condition,ClassLabel,NClass
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Stricter restricted (at least 3 complete waves),Class 5,98
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted,"High Maternal Absence, Low SES",687
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted,"Low Maternal Absence, Improving SES",623
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted,"Low Maternal Absence, Low SES",2555
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_0_5,Early childhood (0-5 years),Unrestricted,"Rising Maternal Absence, Low SES",313
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"High Maternal Absence, Improving SES",783
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"High Maternal Absence, Low SES",340
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Low Maternal Absence, Higher SES",1104
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Low Maternal Absence, Improving SES",1403
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Low Maternal Absence, Low SES",635
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Rising Maternal Absence, Improving SES",585
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 1,246
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 2,823
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 3,436
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 4,192
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 5,373
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 6,589
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 7,819
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted,"High Maternal Absence, Improving SES",616
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted,"High Maternal Absence, Low SES",664
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted,"Low Maternal Absence, Higher SES",828
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted,"Low Maternal Absence, Improving SES",1190
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted,"Low Maternal Absence, Low SES",1634
Joint Maternal Absence + Household Socioeconomic Status,JMAES,time_6_12,Middle-late childhood (6-12 years),Unrestricted,"Rising Maternal Absence, Improving SES",338
