"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","VariableOrder","Depression","Alcohol use","Ever had sexual intercourse","Food insecurity","No government grant receipt","Violence exposure","Low social support","School disengagement"
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,5,,,,,0.543984783642416,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,6,,,,,,0.333808844507846,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,7,,,,,,,0.0998573466476462,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Chronic Low SES",2103,8,,,,,,,,0.170708511650024
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,1,0.0481012658227848,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,2,,0.348925410872314,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,3,,,0.260814249363868,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,4,,,,0.188369152970923,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,5,,,,,0.565107458912769,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,6,,,,,,0.297092288242731,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,7,,,,,,,0.0922882427307206,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted","Improving from Low SES",791,8,,,,,,,,0.132743362831858
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,1,0.0407470288624788,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,2,,0.343485617597293,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,3,,,0.271012006861063,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,4,,,,0.160744500846024,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,5,,,,,0.588832487309645,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,6,,,,,,0.319796954314721,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,7,,,,,,,0.0981387478849408,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Chronic Low SES",591,8,,,,,,,,0.157360406091371
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,1,0.0694087403598972,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,2,,0.368956743002545,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,3,,,0.483116883116883,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,4,,,,0.234096692111959,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,5,,,,,0.638676844783715,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,6,,,,,,0.292620865139949,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,7,,,,,,,0.089058524173028,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Early Improvement from Mild Low SES",393,8,,,,,,,,0.302798982188295
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,1,0.0586854460093897,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,2,,0.369158878504673,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,3,,,0.467469879518072,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,4,,,,0.296728971962617,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,5,,,,,0.591121495327103,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,6,,,,,,0.336448598130841,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Improving from High Low SES",428,7,,,,,,,0.105140186915888,
