"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence"
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCSP","Low social support","Mediator",7,724,67,0.0925414364640884
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","VLNC","Violence exposure","Mediator",6,724,242,0.334254143646409
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,808,284,0.351485148514852
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,803,40,0.0498132004981319
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,794,356,0.448362720403021
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","FDSC","Food insecurity","Mediator",4,808,239,0.295792079207921
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","GOVG","No government grant receipt","Mediator",5,808,487,0.602722772277229
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","SCHL","School disengagement","Mediator",8,808,226,0.27970297029703
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","SCSP","Low social support","Mediator",7,808,85,0.10519801980198
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","VLNC","Violence exposure","Mediator",6,808,236,0.292079207920792
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","DNKA","Alcohol use","Mediator",2,221,89,0.402714932126697
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","DPBN","Depression","Outcome",1,219,10,0.045662100456621
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","ESXC","Ever had sexual intercourse","Mediator",3,217,96,0.442396313364055
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","FDSC","Food insecurity","Mediator",4,221,55,0.248868778280543
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","GOVG","No government grant receipt","Mediator",5,221,130,0.588235294117647
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","SCHL","School disengagement","Mediator",8,221,46,0.208144796380091
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","SCSP","Low social support","Mediator",7,221,18,0.081447963800905
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","VLNC","Violence exposure","Mediator",6,221,69,0.312217194570136
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,651,219,0.336405529953917
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,650,27,0.0415384615384614
