"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence"
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","SCHL","School disengagement","Mediator",8,202,73,0.361386138613861
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","SCSP","Low social support","Mediator",7,202,21,0.103960396039604
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","VLNC","Violence exposure","Mediator",6,202,62,0.306930693069307
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","DNKA","Alcohol use","Mediator",2,165,62,0.375757575757576
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","DPBN","Depression","Outcome",1,162,10,0.0617283950617284
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","ESXC","Ever had sexual intercourse","Mediator",3,160,77,0.48125
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","FDSC","Food insecurity","Mediator",4,165,50,0.303030303030303
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","GOVG","No government grant receipt","Mediator",5,165,98,0.593939393939394
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","SCHL","School disengagement","Mediator",8,165,49,0.296969696969697
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","SCSP","Low social support","Mediator",7,165,21,0.127272727272727
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 4","VLNC","Violence exposure","Mediator",6,165,56,0.339393939393939
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","DNKA","Alcohol use","Mediator",2,782,274,0.350383631713555
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","DPBN","Depression","Outcome",1,760,45,0.0592105263157895
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","ESXC","Ever had sexual intercourse","Mediator",3,749,363,0.484646194926569
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","FDSC","Food insecurity","Mediator",4,782,250,0.319693094629157
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","GOVG","No government grant receipt","Mediator",5,782,477,0.609974424552431
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","SCHL","School disengagement","Mediator",8,782,278,0.355498721227623
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","SCSP","Low social support","Mediator",7,782,72,0.092071611253197
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 5","VLNC","Violence exposure","Mediator",6,782,239,0.305626598465473
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","DNKA","Alcohol use","Mediator",2,151,53,0.350993377483444
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","DPBN","Depression","Outcome",1,149,5,0.0335570469798658
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","ESXC","Ever had sexual intercourse","Mediator",3,145,82,0.56551724137931
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","FDSC","Food insecurity","Mediator",4,151,46,0.304635761589404
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","GOVG","No government grant receipt","Mediator",5,151,100,0.662251655629139
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","SCHL","School disengagement","Mediator",8,151,55,0.364238410596026
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","SCSP","Low social support","Mediator",7,151,17,0.112582781456954
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 6","VLNC","Violence exposure","Mediator",6,151,47,0.311258278145695
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","DNKA","Alcohol use","Mediator",2,245,90,0.36734693877551
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","DPBN","Depression","Outcome",1,238,19,0.0798319327731093
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","ESXC","Ever had sexual intercourse","Mediator",3,238,113,0.474789915966386
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","FDSC","Food insecurity","Mediator",4,245,74,0.302040816326531
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","GOVG","No government grant receipt","Mediator",5,245,144,0.587755102040816
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","SCHL","School disengagement","Mediator",8,245,80,0.326530612244898
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","SCSP","Low social support","Mediator",7,245,19,0.0775510204081632
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 7","VLNC","Violence exposure","Mediator",6,245,78,0.318367346938775
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","DNKA","Alcohol use","Mediator",2,262,96,0.366412213740458
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","DPBN","Depression","Outcome",1,244,14,0.0573770491803279
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","ESXC","Ever had sexual intercourse","Mediator",3,245,130,0.530612244897959
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","FDSC","Food insecurity","Mediator",4,262,79,0.301526717557252
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","GOVG","No government grant receipt","Mediator",5,262,158,0.603053435114504
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","SCHL","School disengagement","Mediator",8,262,100,0.381679389312976
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","SCSP","Low social support","Mediator",7,262,23,0.0877862595419847
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 1","VLNC","Violence exposure","Mediator",6,262,78,0.297709923664122
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","DNKA","Alcohol use","Mediator",2,145,51,0.351724137931034
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","DPBN","Depression","Outcome",1,143,5,0.0349650349650349
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","ESXC","Ever had sexual intercourse","Mediator",3,140,81,0.578571428571429
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","FDSC","Food insecurity","Mediator",4,145,46,0.317241379310345
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","GOVG","No government grant receipt","Mediator",5,145,94,0.648275862068965
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","SCHL","School disengagement","Mediator",8,145,55,0.379310344827586
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","SCSP","Low social support","Mediator",7,145,16,0.110344827586207
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 2","VLNC","Violence exposure","Mediator",6,145,45,0.310344827586207
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","DNKA","Alcohol use","Mediator",2,752,267,0.355053191489362
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","DPBN","Depression","Outcome",1,733,44,0.0600272851296044
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","ESXC","Ever had sexual intercourse","Mediator",3,724,349,0.482044198895029
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","FDSC","Food insecurity","Mediator",4,752,239,0.31781914893617
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","GOVG","No government grant receipt","Mediator",5,752,461,0.613031914893616
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","SCHL","School disengagement","Mediator",8,752,265,0.352393617021276
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","SCSP","Low social support","Mediator",7,752,69,0.0917553191489363
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 3","VLNC","Violence exposure","Mediator",6,752,230,0.305851063829787
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","DNKA","Alcohol use","Mediator",2,716,233,0.325418994413408
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","DPBN","Depression","Outcome",1,698,37,0.0530085959885387
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","ESXC","Ever had sexual intercourse","Mediator",3,692,334,0.482658959537571
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","FDSC","Food insecurity","Mediator",4,716,205,0.286312849162011
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","GOVG","No government grant receipt","Mediator",5,716,480,0.670391061452515
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","SCHL","School disengagement","Mediator",8,716,251,0.350558659217877
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","SCSP","Low social support","Mediator",7,716,65,0.090782122905028
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 4","VLNC","Violence exposure","Mediator",6,716,222,0.310055865921788
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","DNKA","Alcohol use","Mediator",2,199,78,0.391959798994975
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","DPBN","Depression","Outcome",1,199,14,0.0703517587939698
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","ESXC","Ever had sexual intercourse","Mediator",3,193,100,0.518134715025907
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","FDSC","Food insecurity","Mediator",4,199,56,0.281407035175879
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","GOVG","No government grant receipt","Mediator",5,199,113,0.567839195979899
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","SCHL","School disengagement","Mediator",8,199,70,0.351758793969849
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","SCSP","Low social support","Mediator",7,199,21,0.105527638190955
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 5","VLNC","Violence exposure","Mediator",6,199,61,0.306532663316583
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","DNKA","Alcohol use","Mediator",2,238,87,0.365546218487395
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","DPBN","Depression","Outcome",1,232,18,0.0775862068965517
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","ESXC","Ever had sexual intercourse","Mediator",3,231,109,0.471861471861471
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","FDSC","Food insecurity","Mediator",4,238,71,0.298319327731092
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","GOVG","No government grant receipt","Mediator",5,238,140,0.588235294117647
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","SCHL","School disengagement","Mediator",8,238,75,0.315126050420168
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","SCSP","Low social support","Mediator",7,238,19,0.0798319327731093
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 6","VLNC","Violence exposure","Mediator",6,238,75,0.315126050420168
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","DNKA","Alcohol use","Mediator",2,161,60,0.372670807453416
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","DPBN","Depression","Outcome",1,158,10,0.0632911392405064
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","ESXC","Ever had sexual intercourse","Mediator",3,156,76,0.487179487179487
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","FDSC","Food insecurity","Mediator",4,161,50,0.31055900621118
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","GOVG","No government grant receipt","Mediator",5,161,96,0.596273291925466
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","SCHL","School disengagement","Mediator",8,161,49,0.304347826086956
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","SCSP","Low social support","Mediator",7,161,21,0.130434782608696
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)","Class 7","VLNC","Violence exposure","Mediator",6,161,53,0.329192546583851
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","DNKA","Alcohol use","Mediator",2,173,63,0.364161849710983
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","DPBN","Depression","Outcome",1,169,11,0.0650887573964497
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","ESXC","Ever had sexual intercourse","Mediator",3,168,82,0.488095238095239
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","FDSC","Food insecurity","Mediator",4,173,53,0.30635838150289
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","GOVG","No government grant receipt","Mediator",5,173,102,0.589595375722543
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","SCHL","School disengagement","Mediator",8,173,52,0.300578034682081
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","SCSP","Low social support","Mediator",7,173,21,0.121387283236994
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 1","VLNC","Violence exposure","Mediator",6,173,57,0.329479768786127
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","DNKA","Alcohol use","Mediator",2,204,79,0.387254901960784
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","DPBN","Depression","Outcome",1,204,15,0.0735294117647059
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","ESXC","Ever had sexual intercourse","Mediator",3,198,104,0.525252525252525
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","FDSC","Food insecurity","Mediator",4,204,58,0.284313725490196
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","GOVG","No government grant receipt","Mediator",5,204,117,0.573529411764706
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","SCHL","School disengagement","Mediator",8,204,74,0.362745098039215
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","SCSP","Low social support","Mediator",7,204,21,0.102941176470588
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 2","VLNC","Violence exposure","Mediator",6,204,63,0.308823529411765
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","DNKA","Alcohol use","Mediator",2,297,104,0.35016835016835
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","DPBN","Depression","Outcome",1,275,15,0.0545454545454546
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","ESXC","Ever had sexual intercourse","Mediator",3,279,153,0.548387096774194
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","FDSC","Food insecurity","Mediator",4,297,94,0.316498316498316
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","GOVG","No government grant receipt","Mediator",5,297,181,0.60942760942761
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","SCHL","School disengagement","Mediator",8,297,118,0.397306397306397
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","SCSP","Low social support","Mediator",7,297,26,0.0875420875420876
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 3","VLNC","Violence exposure","Mediator",6,297,88,0.296296296296296
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","DNKA","Alcohol use","Mediator",2,153,55,0.359477124183007
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","DPBN","Depression","Outcome",1,151,5,0.033112582781457
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","ESXC","Ever had sexual intercourse","Mediator",3,147,84,0.571428571428572
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","FDSC","Food insecurity","Mediator",4,153,48,0.313725490196078
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","GOVG","No government grant receipt","Mediator",5,153,102,0.666666666666667
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","SCHL","School disengagement","Mediator",8,153,57,0.372549019607843
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","SCSP","Low social support","Mediator",7,153,17,0.111111111111111
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 4","VLNC","Violence exposure","Mediator",6,153,49,0.320261437908497
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","DNKA","Alcohol use","Mediator",2,251,92,0.366533864541833
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","DPBN","Depression","Outcome",1,244,20,0.0819672131147541
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","ESXC","Ever had sexual intercourse","Mediator",3,244,115,0.471311475409835
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","FDSC","Food insecurity","Mediator",4,251,78,0.310756972111554
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","GOVG","No government grant receipt","Mediator",5,251,149,0.593625498007968
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","SCHL","School disengagement","Mediator",8,251,82,0.326693227091633
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","SCSP","Low social support","Mediator",7,251,20,0.0796812749003984
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 5","VLNC","Violence exposure","Mediator",6,251,79,0.314741035856574
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","DNKA","Alcohol use","Mediator",2,776,244,0.314432989690721
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","DPBN","Depression","Outcome",1,753,40,0.053120849933599
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","ESXC","Ever had sexual intercourse","Mediator",3,745,358,0.480536912751678
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","FDSC","Food insecurity","Mediator",4,776,226,0.291237113402062
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","GOVG","No government grant receipt","Mediator",5,776,507,0.653350515463916
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","SCHL","School disengagement","Mediator",8,776,270,0.347938144329896
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","SCSP","Low social support","Mediator",7,776,72,0.0927835051546391
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 6","VLNC","Violence exposure","Mediator",6,776,232,0.298969072164948
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","DNKA","Alcohol use","Mediator",2,824,286,0.347087378640777
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","DPBN","Depression","Outcome",1,800,49,0.06125
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","ESXC","Ever had sexual intercourse","Mediator",3,788,381,0.483502538071067
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","FDSC","Food insecurity","Mediator",4,824,265,0.321601941747572
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","GOVG","No government grant receipt","Mediator",5,824,504,0.611650485436894
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","SCHL","School disengagement","Mediator",8,824,290,0.351941747572818
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","SCSP","Low social support","Mediator",7,824,78,0.0946601941747572
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Class 7","VLNC","Violence exposure","Mediator",6,824,248,0.300970873786408
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Class 1","DNKA","Alcohol use","Mediator",2,973,299,0.307297019527235
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Class 1","DPBN","Depression","Outcome",1,973,28,0.0287769784172663
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Class 1","ESXC","Ever had sexual intercourse","Mediator",3,961,259,0.269510926118626
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Class 1","FDSC","Food insecurity","Mediator",4,973,244,0.250770811921891
