"model","pv_draw_id","n_used"
"JPA",71,3977
"JPA",72,3977
"JPA",73,3977
"JPA",74,3977
"JPA",75,3977
"JPA",76,3977
"JPA",77,3977
"JPA",78,3977
"JPA",79,3977
"JPA",80,3977
"JPA",81,3977
"JPA",82,3977
"JPA",83,3977
"JPA",84,3977
"JPA",85,3977
"JPA",86,3977
"JPA",87,3977
"JPA",88,3977
"JPA",89,3977
"JPA",90,3977
"JPA",91,3977
"JPA",92,3977
"JPA",93,3977
"JPA",94,3977
"JPA",95,3977
"JPA",96,3977
"JPA",97,3977
"JPA",98,3977
"JPA",99,3977
"JPA",100,3977
"JPAES",1,4069
"JPAES",2,4069
"JPAES",3,4069
"JPAES",4,4069
"JPAES",5,4069
"JPAES",6,4069
"JPAES",7,4069
"JPAES",8,4069
"JPAES",9,4069
"JPAES",10,4069
"JPAES",11,4069
"JPAES",12,4069
"JPAES",13,4069
"JPAES",14,4069
"JPAES",15,4069
"JPAES",16,4069
"JPAES",17,4069
"JPAES",18,4069
"JPAES",19,4069
"JPAES",20,4069
"JPAES",21,4069
"JPAES",22,4069
"JPAES",23,4069
"JPAES",24,4069
"JPAES",25,4069
"JPAES",26,4069
"JPAES",27,4069
"JPAES",28,4069
"JPAES",29,4069
"JPAES",30,4069
"JPAES",31,4069
"JPAES",32,4069
"JPAES",33,4069
"JPAES",34,4069
"JPAES",35,4069
"JPAES",36,4069
"JPAES",37,4069
"JPAES",38,4069
"JPAES",39,4069
"JPAES",40,4069
"JPAES",41,4069
"JPAES",42,4069
"JPAES",43,4069
"JPAES",44,4069
"JPAES",45,4069
"JPAES",46,4069
"JPAES",47,4069
"JPAES",48,4069
"JPAES",49,4069
"JPAES",50,4069
"JPAES",51,4069
"JPAES",52,4069
"JPAES",53,4069
"JPAES",54,4069
"JPAES",55,4069
"JPAES",56,4069
"JPAES",57,4069
"JPAES",58,4069
"JPAES",59,4069
"JPAES",60,4069
"JPAES",61,4069
"JPAES",62,4069
"JPAES",63,4069
"JPAES",64,4069
"JPAES",65,4069
"JPAES",66,4069
"JPAES",67,4069
"JPAES",68,4069
"JPAES",69,4069
"JPAES",70,4069
"JPAES",71,4069
"JPAES",72,4069
"JPAES",73,4069
"JPAES",74,4069
"JPAES",75,4069
"JPAES",76,4069
"JPAES",77,4069
"JPAES",78,4069
"JPAES",79,4069
"JPAES",80,4069
"JPAES",81,4069
"JPAES",82,4069
"JPAES",83,4069
"JPAES",84,4069
"JPAES",85,4069
"JPAES",86,4069
"JPAES",87,4069
"JPAES",88,4069
"JPAES",89,4069
"JPAES",90,4069
"JPAES",91,4069
"JPAES",92,4069
"JPAES",93,4069
"JPAES",94,4069
"JPAES",95,4069
"JPAES",96,4069
"JPAES",97,4069
"JPAES",98,4069
"JPAES",99,4069
"JPAES",100,4069
