"model_code","response","response_label","effect_group","effect_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","or_conf.low","or_conf.high","class","window","class_label","benchmark_class","benchmark_label","term_label","n_subjects","n_pseudo_rows","total_weight"
"ULWOM","ESXC","Ever had sexual intercourse","Two-window class history","mid_class","mid_class1",0.253701735227694,0.172360838448545,1.4719221460705,0.141041902494128,-0.0841255081314546,0.591528978586842,1.28878734707101,0.919315867237443,1.806748784791,1,"Middle–Late Childhood (6–12 Years)","Late-Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Two-window class history","mid_class","mid_class2",-0.052830292058654,0.184878155410879,-0.285757351598637,0.775063975071917,-0.415191476663976,0.309530892546669,0.948540973759647,0.660213853055303,1.36278567124452,2,"Middle–Late Childhood (6–12 Years)","Mid-Childhood Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Two-window class history","mid_class","mid_class3",0.206629477218198,0.162464875296461,1.27184092463769,0.203429644996558,-0.111801678362866,0.525060632799262,1.22952691963665,0.894221583404375,1.69056134873852,3,"Middle–Late Childhood (6–12 Years)","Declining Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Two-window class history","mid_class","mid_class4",0.0876220911574204,0.140067863038536,0.625568843963255,0.531597779704957,-0.18691092039811,0.362155102712951,1.09157552802726,0.82951762619422,1.43642171758869,4,"Middle–Late Childhood (6–12 Years)","Stable High Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Fixed covariate","fixed_covariate","SEXMale",0.0242887850773976,0.102360855742464,0.23728587360101,0.812435020433293,-0.176338492177832,0.224916062332628,1.02458616036474,0.838334165747252,1.25221760355579,,,,,,"Male vs Female",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Fixed covariate","fixed_covariate","AGE",0.814076238356775,0.0283109363418335,28.754832709431,7.88121329229995e-182,0.758586803126782,0.869565673586769,2.25708969613902,2.13525654942535,2.38587438019473,,,,,,"Age (per year)",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Fixed covariate","fixed_covariate","RURALYes",-0.2890645073879,0.105314139093259,-2.74478346285417,0.00605508361914093,-0.495480220010687,-0.0826487947651136,0.748963890140156,0.6092782494244,0.920674436128018,,,,,,"Rural vs non-rural",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","Fixed covariate","fixed_covariate","CLYR",-0.10386597842512,0.0287394510101661,-3.61405575869833,0.000301444189290789,-0.160195302405045,-0.0475366544451939,0.901346089149055,0.851977379485397,0.953575519710406,,,,,,"Calendar year (per unit)",3211,15387,3210.69900100001
"ULWOM","FDSC","Food insecurity","Intercept","intercept","(Intercept)",-2.35530129558834,0.271000519985705,-8.69113201595546,3.58845759484941e-18,-2.88646231476032,-1.82414027641636,0.0948649198464798,0.0557731719431604,0.161356306337579,,,,,,"Intercept",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","early_class","early_class1",-0.239636594336324,0.137631129887364,-1.74115110827355,0.081657094722096,-0.509393608915558,0.0301204202429092,0.786913778035246,0.600859824403983,1.03057862901043,1,"Early Childhood (0–5 Years)","Late-Onset Maternal Absence",2,"Stable Low Maternal Absence","Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","early_class","early_class3",-0.0363832093412109,0.136422916109025,-0.266694265002623,0.789704569908111,-0.3037721249149,0.231005706232478,0.964270705131129,0.738029025717252,1.25986642851945,3,"Early Childhood (0–5 Years)","Stable High Maternal Absence",2,"Stable Low Maternal Absence","Early: Stable High Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","early_class","early_class4",-0.047323040842298,0.110814070159823,-0.427049027023787,0.669343618601748,-0.26451861835555,0.169872536670955,0.953779238170547,0.767575357743612,1.18515377804644,4,"Early Childhood (0–5 Years)","Early Peak, Declining Maternal Absence",2,"Stable Low Maternal Absence","Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","mid_class","mid_class1",-0.0464218902131188,0.149254392107484,-0.31102528748158,0.75578139774284,-0.338960498743788,0.246116718317551,0.954639124316402,0.712510593596828,1.27904885325995,1,"Middle–Late Childhood (6–12 Years)","Late-Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","mid_class","mid_class2",0.0099267689307675,0.154309922005779,0.0643300754853322,0.948707406270262,-0.29252067820056,0.312374216062095,1.00997620273873,0.746379811084882,1.3666660257274,2,"Middle–Late Childhood (6–12 Years)","Mid-Childhood Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","mid_class","mid_class3",0.286997206401914,0.127921596906176,2.24353989742961,0.0248620200560062,0.0362708764658091,0.537723536338019,1.33242049122314,1.03693669019814,1.71210487796712,3,"Middle–Late Childhood (6–12 Years)","Declining Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Two-window class history","mid_class","mid_class4",0.0658444112832807,0.116274204309771,0.566285632089659,0.571199625987756,-0.16205302916387,0.293741851730431,1.06806052607097,0.850396107549974,1.34143756917885,4,"Middle–Late Childhood (6–12 Years)","Stable High Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","FDSC","Food insecurity","Fixed covariate","fixed_covariate","SEXMale",-0.286045037577037,0.0826211363766168,-3.46212906432491,0.000535920090112662,-0.447982464875206,-0.124107610278868,0.751228781660858,0.638915887403508,0.8832847852463,,,,,,"Male vs Female",3267,15645,3266.694001
