"model","model_label","coefficient_type","childhood_window","term","exposure_contrast","mediator","mediator_label","m","q_bar","std.error","lower_95","upper_95","odds_ratio","odds_ratio_lower_95","odds_ratio_upper_95","p_value","significant_at_95"
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable High Paternal Absence vs Stable Low Paternal Absence","SCHL","School disengagement",100,-0.106443039054568,0.196749685283744,-0.492178147075073,0.279292068965938,0.899026256088307,0.611293455990516,1.32219345915703,0.588531587709857,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Declining Paternal Absence vs Stable Low Paternal Absence","SCSP","Low social support",100,0.178086422714732,0.358721667964103,-0.525906134724901,0.882078980154366,1.19492858574483,0.591019578293305,2.4159171328188,0.619695473768672,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable High Paternal Absence vs Stable Low Paternal Absence","SCSP","Low social support",100,0.0554575662675261,0.220080546919273,-0.375997925532367,0.486913058067419,1.05702416264022,0.686603757378095,1.62728512391463,0.801061123526116,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Declining Paternal Absence vs Stable Low Paternal Absence","VLNC","Violence exposure",100,-0.085198137485357,0.222317216623819,-0.521591274743316,0.351194999772601,0.918330310715656,0.593575254747911,1.42076434762644,0.701652551041363,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable High Paternal Absence vs Stable Low Paternal Absence","VLNC","Violence exposure",100,-0.224495276734341,0.137512771403016,-0.494056219855855,0.0450656663871726,0.798919350199341,0.610146479779281,1.04609655103448,0.10260494163635,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","DNKA","Alcohol use",100,-0.419349602095771,0.174126284233502,-0.760667748088112,-0.0780314561034299,0.657474300690909,0.467354247887505,0.924935331224484,0.0160427420749438,TRUE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","DNKA","Alcohol use",100,-0.172292089924328,0.243393406888247,-0.649434951001575,0.30485077115292,0.841733275449395,0.52234084155949,1.35642257052586,0.479051655204075,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","DNKA","Alcohol use",100,-0.0556625824573223,0.182889714642654,-0.414189683852887,0.302864518938242,0.945858231213286,0.660875581949358,1.35373104709818,0.760871042171873,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","ESXC","Ever had sexual intercourse",100,-0.00980256337986996,0.2121833704691,-0.425700199905211,0.406095073145471,0.990245325140048,0.653312175815965,1.50094524526043,0.963152474824822,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","ESXC","Ever had sexual intercourse",100,-0.0163915249545315,0.292788697519715,-0.590331113118445,0.557548063209382,0.983742085070523,0.55414377008235,1.74638522020212,0.955355794683517,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","ESXC","Ever had sexual intercourse",100,-0.106108296214345,0.217826890621084,-0.533068524899904,0.320851932471214,0.899327249065516,0.586801588947058,1.3783014840894,0.626177448003165,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","FDSC","Food insecurity",100,0.190450836521353,0.184244727889668,-0.170691330097862,0.551593003140568,1.20979489444993,0.843081767279156,1.73601629573907,0.301300553888684,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","FDSC","Food insecurity",100,0.213853738712918,0.250888337702261,-0.277947212196218,0.705654689622054,1.23844150549764,0.757336798605497,2.02517211016733,0.394023426251735,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","FDSC","Food insecurity",100,0.101670306589972,0.19527413864746,-0.281117098248722,0.484457711428666,1.10701843487336,0.75493992816066,1.6232944760721,0.602621876279096,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","GOVG","No government grant receipt",100,0.688841745926423,0.177598456488024,0.340736930560166,1.03694656129268,1.991407640926,1.40598332096233,2.8205913492801,0.000105329970216506,TRUE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","GOVG","No government grant receipt",100,0.558925856645013,0.248897328969845,0.0710053748579358,1.04684633843209,1.74879303665055,1.07358699623044,2.84865324913177,0.0247625228816326,TRUE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","GOVG","No government grant receipt",100,0.435218469102713,0.187011173613638,0.0686147746309503,0.801822163574475,1.54530062251681,1.07102354422887,2.22959992506063,0.0199835725017832,TRUE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","SCHL","School disengagement",100,-0.11602472190588,0.236782637728276,-0.580154259305227,0.348104815493467,0.890453209324929,0.559812003693687,1.41638070060198,0.624138662600336,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","SCHL","School disengagement",100,0.409024765989796,0.349098815959195,-0.275466846698179,1.09351637867777,1.50534900148192,0.759217602247125,2.98475115639508,0.241425132649712,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","SCHL","School disengagement",100,0.018314980239316,0.255990345454739,-0.483507445714767,0.520137406193399,1.01848372812034,0.616616844395002,1.68225878659488,0.94296567551378,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","SCSP","Low social support",100,-0.140050840075878,0.283843284459913,-0.696414305406847,0.416312625255092,0.869314038283655,0.498369103198976,1.51635984716195,0.621730175269282,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","SCSP","Low social support",100,-0.0381907741713132,0.386617359140315,-0.796097590596367,0.719716042253741,0.96252929764544,0.451085855517266,2.05384992123824,0.921314740371617,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","SCSP","Low social support",100,-0.11442667334716,0.29464480699223,-0.691977706413521,0.463124359719201,0.891877334400137,0.500585079123984,1.58903094157083,0.69776045709096,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Stable Low Paternal Absence vs Rising Paternal Absence","VLNC","Violence exposure",100,-0.114001421122373,0.173170311453241,-0.453435199073279,0.225432356828534,0.892256687875566,0.635441529877007,1.25286428353647,0.510342411952179,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Declining Paternal Absence vs Rising Paternal Absence","VLNC","Violence exposure",100,-0.141503101486464,0.252662000856725,-0.636838799091892,0.353832596118964,0.86805248332769,0.528961938778206,1.42451669689474,0.575472645557882,FALSE
"ULWOF","Univariate lived without father","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Stable High Paternal Absence vs Rising Paternal Absence","VLNC","Violence exposure",100,0.107325247940114,0.183946105729799,-0.253258000435212,0.46790849631544,1.11329629292602,0.776267578612568,1.59665129652594,0.559600217501166,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","DNKA","Alcohol use",100,0.0712148766322962,0.1808116548999,-0.2834585614303,0.425888314694893,1.07381193817312,0.753174331960466,1.53094978099126,0.693739329243865,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","DNKA","Alcohol use",100,-0.149360499456049,0.142956526579122,-0.429638883878398,0.1309178849663,0.861258575679661,0.650744046464547,1.13987417666244,0.296183026330984,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","DNKA","Alcohol use",100,-0.115048761521181,0.18731752337678,-0.482370985416211,0.252273462373848,0.891322680597402,0.617318003302243,1.28694792100267,0.53914768141493,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","ESXC","Ever had sexual intercourse",100,0.162373727658442,0.230870391206722,-0.290535615316846,0.615283070633729,1.17629977494346,0.747862893463908,1.85018025713669,0.481984798101872,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","ESXC","Ever had sexual intercourse",100,0.0458435122836056,0.181368779368902,-0.309769038294964,0.401456062862176,1.04691056949339,0.733616373947602,1.4939984703712,0.800466976620922,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","ESXC","Ever had sexual intercourse",100,-0.00765442504606996,0.239503616111036,-0.477441857594438,0.462133007502298,0.992374795462393,0.62036835425606,1.58745643279951,0.974508456519675,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","FDSC","Food insecurity",100,0.203210442543985,0.192925543796074,-0.175200521690553,0.581621406778524,1.22533030274301,0.83928870830397,1.78893667454952,0.292356546880853,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","FDSC","Food insecurity",100,0.269272354595821,0.156719723353539,-0.0380238011329196,0.576568510324561,1.30901160782895,0.962690027505213,1.77992016170716,0.0858733280919566,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","FDSC","Food insecurity",100,0.225460594490655,0.206342684556167,-0.179322614840976,0.630243803822286,1.25289966199429,0.835836202731675,1.87806840370774,0.27473977918136,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","GOVG","No government grant receipt",100,0.0865728286991912,0.184338324960098,-0.27493845826771,0.448084115666093,1.09043077948124,0.759618870047656,1.56531035723938,0.638661821245646,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","GOVG","No government grant receipt",100,-0.0595980637312829,0.147147406049148,-0.348095778509034,0.228899651046469,0.942143138989413,0.706031250355393,1.25721587238244,0.685484051349736,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","GOVG","No government grant receipt",100,-0.085529834467419,0.191734729542386,-0.461527413091129,0.290467744156291,0.918025753836147,0.630320150617235,1.33705274039097,0.655579801344946,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","SCHL","School disengagement",100,0.135017546380263,0.27658148476173,-0.40762284965102,0.677657942411546,1.14455686700515,0.665229723138651,1.96926020627553,0.62552232717103,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","SCHL","School disengagement",100,-0.139315313631421,0.223677257830183,-0.57793610129125,0.299305474028409,0.869953676954092,0.56105513339535,1.34892162106402,0.533448402561928,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","SCHL","School disengagement",100,-0.0960808614148205,0.289777090528308,-0.664509382975873,0.472347660146232,0.908390559353,0.514525900958627,1.60375484846196,0.740263407317731,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","SCSP","Low social support",100,0.410341960146352,0.294856773357048,-0.168019228045127,0.988703148337831,1.5073331448544,0.845337580339247,2.68774660256421,0.164223829723958,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","SCSP","Low social support",100,0.000998536261705423,0.216299559707403,-0.42304854143617,0.425045613959581,1.00099903496502,0.65504683542591,1.52966019193024,0.996316811597502,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","SCSP","Low social support",100,0.0384748968487907,0.295920308218646,-0.541909668180918,0.618859461878499,1.03922464021725,0.58163645849552,1.85680907216204,0.896566942760241,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Stable High Maternal Absence vs Late-Onset Maternal Absence","VLNC","Violence exposure",100,0.0795200263758502,0.17577985194141,-0.265189978994553,0.424230031746253,1.08276724321609,0.767060210804993,1.52841313689234,0.65103640715675,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Stable Low Maternal Absence vs Late-Onset Maternal Absence","VLNC","Violence exposure",100,-0.0793110364970382,0.144962124186837,-0.363550145900856,0.204928072906779,0.923752558996752,0.695203864717987,1.22743677582863,0.584341404780281,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Early Peak, Declining Maternal Absence vs Late-Onset Maternal Absence","VLNC","Violence exposure",100,-0.0815193669509782,0.189008133088857,-0.452208187423981,0.289169453522025,0.921714858874541,0.636221702579228,1.33531798369346,0.666299302921239,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","DNKA","Alcohol use",100,0.0960769339222446,0.160045609479928,-0.217696175666666,0.409850043511155,1.1008437529639,0.804369791660648,1.50659184494949,0.548331896998768,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","DNKA","Alcohol use",100,-0.0662046054274554,0.113865887150272,-0.289386512277961,0.15697730142305,0.935939346429441,0.74872275892985,1.16996905696684,0.560957573890718,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","DNKA","Alcohol use",100,0.172793798240923,0.187686099388399,-0.195202392323579,0.540789988805425,1.18862098407492,0.822668139489261,1.71736302400181,0.357300447034975,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","DNKA","Alcohol use",100,0.0608940182223345,0.190174686494036,-0.311953965515229,0.433742001959898,1.06278627223989,0.732015225396437,1.54302072043633,0.748833059238514,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","ESXC","Ever had sexual intercourse",100,0.0559486851058342,0.195730742125417,-0.327790208678301,0.439687578889969,1.05754341461582,0.72051416146887,1.55222219576819,0.775011210677901,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","ESXC","Ever had sexual intercourse",100,-0.194646117499555,0.140196394881621,-0.469442004601414,0.0801497696023044,0.823125896371296,0.625351113990607,1.08344932329844,0.165035706741559,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","ESXC","Ever had sexual intercourse",100,0.0556240131532319,0.230848303474024,-0.396929224803161,0.508177251109625,1.05720011566322,0.672381611889606,1.66225855198109,0.809599044507787,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","ESXC","Ever had sexual intercourse",100,-0.355277746761333,0.229368068716402,-0.804912245451822,0.0943567519291563,0.700978721598489,0.447127162279879,1.09895172914205,0.121443055208709,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","FDSC","Food insecurity",100,0.241690726269626,0.162040944610695,-0.0759716631936047,0.559353115732857,1.27340030264753,0.9268424699429,1.74954038401232,0.135875258362038,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","FDSC","Food insecurity",100,0.00873760173176757,0.119178330821756,-0.224864494672074,0.242339698135609,1.00877588599676,0.798624429292841,1.27422697183159,0.941556046785647,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","FDSC","Food insecurity",100,-0.0927183372302707,0.196002589243717,-0.476987275363536,0.291550600902995,0.911450185728861,0.620650426794243,1.33850136115444,0.636204633725098,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","FDSC","Food insecurity",100,0.0245856573014475,0.199673453040671,-0.366939826795642,0.416111141398537,1.02489037669135,0.692851334875037,1.51605435590883,0.902013708568103,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","GOVG","No government grant receipt",100,0.179444015551078,0.164324888398727,-0.142700610592098,0.501588641694253,1.19655191389279,0.867013604732174,1.65134257966202,0.274879559261791,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","GOVG","No government grant receipt",100,0.101868658000401,0.117225669610723,-0.127903151962788,0.331640467963591,1.1072380353196,0.879938595343893,1.39325183978238,0.384859513787938,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","GOVG","No government grant receipt",100,-0.0607174856487276,0.191505237314883,-0.436159446578841,0.314724475281385,0.941089073392395,0.646514633170334,1.36988182265198,0.751217051211448,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","GOVG","No government grant receipt",100,0.0494520582800534,0.194211115130545,-0.331314901766558,0.430219018326665,1.05069521887141,0.717979040570084,1.53759424799181,0.799022211896402,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","SCHL","School disengagement",100,0.337692437214169,0.233027103043207,-0.119140460589781,0.794525335018119,1.40170932347682,0.887683107512091,2.21339012863334,0.147355587837833,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","SCHL","School disengagement",100,0.207769983675947,0.165742771643956,-0.117105869827839,0.532645837179734,1.2309300029892,0.889491017917409,1.7034333587837,0.210018112302478,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","SCHL","School disengagement",100,0.2518735824265,0.272157666297482,-0.281707916280135,0.785455081133135,1.2864333992161,0.754494027774434,2.193404890825,0.354777924851386,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","SCHL","School disengagement",100,0.305743046931802,0.286075676950438,-0.255172553896431,0.866658647760036,1.35763341365414,0.774782794635796,2.37894865326302,0.285265530731369,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","SCSP","Low social support",100,0.169406724997912,0.248058852744942,-0.316887502618257,0.655700952614082,1.18460184813995,0.728412695037622,1.92649242411145,0.494680326988968,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","SCSP","Low social support",100,0.201812382216135,0.174998087622818,-0.141207663727561,0.54483242815983,1.22361841399893,0.868308976695022,1.72431941078866,0.24883752750282,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","SCSP","Low social support",100,0.624934371938003,0.336778551955718,-0.0355394929777985,1.2854082368538,1.86812335209392,0.965084619411924,3.61614389913829,0.063654308181466,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","SCSP","Low social support",100,0.390642547753446,0.311272546144435,-0.219610135989463,1.00089523149636,1.47793012953772,0.80283173215651,2.7207164095621,0.209551385347638,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C2","Declining Maternal Absence vs Stable High Maternal Absence","VLNC","Violence exposure",100,0.159227313937037,0.161770733666593,-0.15795342643869,0.476408054312764,1.17260446572551,0.853889549719707,1.61027996359807,0.325050932551671,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C3","Stable Low Maternal Absence vs Stable High Maternal Absence","VLNC","Violence exposure",100,0.119486891868044,0.116155281401228,-0.108195043857077,0.347168827593165,1.12691847217435,0.89745253675452,1.41505560563717,0.303648602826675,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C4","Late-Onset Maternal Absence vs Stable High Maternal Absence","VLNC","Violence exposure",100,0.119186777410097,0.190558888831813,-0.254449542467951,0.492823097288146,1.12658031839288,0.77534317400684,1.63693091825558,0.531716463995378,FALSE
"ULWOM","Univariate lived without mother","A-path (class to pathway variable)","Middle-late childhood (6-12 years)","C612_C5","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","VLNC","Violence exposure",100,-0.0187131100955976,0.191603221503571,-0.394356264868207,0.356930044677011,0.981460893078488,0.67411385037247,1.42893590468463,0.922202194775329,FALSE
