"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",7,"DNKA",0.306631809404867,0.155060306346106
"ULWOM",7,"ESXC",0.433747439478376,0.190275753023127
"ULWOM",7,"FDSC",0.71880988142718,0.144262646385759
"ULWOM",7,"GOVG",0.105328493454725,0.160436065903753
"ULWOM",7,"VLNC",0.60982862020597,0.148631214894483
"ULWOM",7,"SCSP",0.0226603026812534,0.243633323878488
"ULWOM",7,"SCHL",0.179230534627315,0.186834597885071
"ULWOM",8,"DNKA",0.303777530584574,0.154782935564951
"ULWOM",8,"ESXC",0.441330905553444,0.189730251341167
"ULWOM",8,"FDSC",0.724124357132439,0.144332565646037
"ULWOM",8,"GOVG",0.108118283585014,0.160460062801115
"ULWOM",8,"VLNC",0.620477969625029,0.148569774818213
"ULWOM",8,"SCSP",0.0397126030792222,0.243688231444325
"ULWOM",8,"SCHL",0.181736446235752,0.186813471451939
"ULWOM",9,"DNKA",0.307024181638727,0.154889394701712
"ULWOM",9,"ESXC",0.437698516152661,0.190151931271153
"ULWOM",9,"FDSC",0.727054120257393,0.144310138561011
"ULWOM",9,"GOVG",0.107774443009993,0.160390399184955
"ULWOM",9,"VLNC",0.62664969518856,0.148744898363483
"ULWOM",9,"SCSP",0.0385541750738296,0.243731519114237
"ULWOM",9,"SCHL",0.183221455675468,0.186429468752796
"ULWOM",10,"DNKA",0.307144440043113,0.154756208363957
"ULWOM",10,"ESXC",0.437505867963306,0.189586209365238
"ULWOM",10,"FDSC",0.7206320860452,0.144257712024125
"ULWOM",10,"GOVG",0.107036669935044,0.160408742403026
"ULWOM",10,"VLNC",0.616979981557722,0.148373906601664
"ULWOM",10,"SCSP",0.0415009877757552,0.242944843818361
"ULWOM",10,"SCHL",0.189739592489475,0.186592546484754
"ULWOM",11,"DNKA",0.300038984439266,0.155063008069705
"ULWOM",11,"ESXC",0.443906517089549,0.189980727459075
"ULWOM",11,"FDSC",0.723138775003487,0.144323778852443
"ULWOM",11,"GOVG",0.108353088042885,0.160347580988989
"ULWOM",11,"VLNC",0.620514789457674,0.148549176787266
"ULWOM",11,"SCSP",0.047378433219091,0.24307515255266
"ULWOM",11,"SCHL",0.183683583906012,0.186188260330383
"ULWOM",12,"DNKA",0.310438684091297,0.154795350829775
"ULWOM",12,"ESXC",0.434193216035228,0.18984818266259
"ULWOM",12,"FDSC",0.718730237771101,0.144221354247573
"ULWOM",12,"GOVG",0.105376039538595,0.160277364457071
"ULWOM",12,"VLNC",0.618636470533717,0.148665696874838
"ULWOM",12,"SCSP",0.0499099296737369,0.243153203406032
"ULWOM",12,"SCHL",0.18734238750841,0.186398875610985
"ULWOM",13,"DNKA",0.300233928250382,0.155105238132718
"ULWOM",13,"ESXC",0.44182260647061,0.189992481353192
"ULWOM",13,"FDSC",0.718411445516119,0.144366298224272
"ULWOM",13,"GOVG",0.0999272076873109,0.160511476693921
"ULWOM",13,"VLNC",0.618254750236076,0.148719120440197
"ULWOM",13,"SCSP",0.0361558978730994,0.243431063558071
"ULWOM",13,"SCHL",0.186224370841372,0.186278862262211
"ULWOM",14,"DNKA",0.299225416588313,0.155209318603605
"ULWOM",14,"ESXC",0.431204922641008,0.189762772627523
"ULWOM",14,"FDSC",0.719542116651033,0.144163838854355
"ULWOM",14,"GOVG",0.104659594473378,0.160504422869048
"ULWOM",14,"VLNC",0.616519875801914,0.148621468082361
