"adjustment_code","adjustment_label","term","pathway_label","estimate","odds_ratio","or_conf.low","or_conf.high","p.value","n_subjects","n_pseudo_rows","total_weight","model_code","model_label"
"sex_only","Sex only","FDSC","Food insecurity",0.758729579172292,2.13556143467626,1.46134102055359,3.12084761676564,8.8587960212222e-05,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","GOVG","Lack of government grant receipt",0.370784387880208,1.44887064563504,0.963935057335601,2.17776719687459,0.0745316619872227,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","VLNC","Violence exposure",0.431841031315066,1.54009026957542,1.05523664836011,2.24772143966654,0.025173767163969,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","SCSP","Low social support",0.380055590777377,1.46236588123081,0.853078364682806,2.50682007553096,0.166933540846381,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","SCHL","School disengagement",-0.212311118246219,0.808713053036172,0.494141800702225,1.3235407351122,0.398264422828211,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","DNKA","Alcohol use",0.16661644230686,1.18130108128517,0.782593381258041,1.78313831686417,0.427715905158149,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","ESXC","Ever had sexual intercourse",0.895374965436038,2.44825362786182,1.47769863740393,4.05627079474672,0.000509175788538005,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","FDSC","Food insecurity",0.754288157988029,2.12609753901058,1.4498823403428,3.11769487744648,0.000112451759284888,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","GOVG","Lack of government grant receipt",0.354037456984445,1.42480855451224,0.944743941736626,2.14881443249012,0.0912478322304502,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","VLNC","Violence exposure",0.443086590793735,1.55750719428708,1.05884111694136,2.2910223464531,0.0244244971245734,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","SCSP","Low social support",0.371423660730413,1.44979716542017,0.838590502498039,2.50648178652045,0.183594522207381,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","SCHL","School disengagement",-0.256161364348426,0.774017059956052,0.441801977063116,1.3560428431886,0.370576437693887,2766,13511,2765.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","DNKA","Alcohol use",0.162288448827712,1.17619946575125,0.779120608928608,1.77564958156601,0.439948149168203,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","ESXC","Ever had sexual intercourse",0.884400297141012,2.42153175643692,1.46367918666747,4.00621673167557,0.000575060952614139,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","FDSC","Food insecurity",0.752165313108248,2.12158895094567,1.44830083800966,3.10787618058724,0.000112665665987062,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","GOVG","Lack of government grant receipt",0.339127067527022,1.40372170132607,0.92766471738557,2.12408058412204,0.108558196157276,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","VLNC","Violence exposure",0.443706609365024,1.55847317710515,1.06020087023017,2.29092308066955,0.0239821802364314,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","SCSP","Low social support",0.359507325541157,1.43262342369279,0.829114419169748,2.4754241714533,0.19760505390905,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","SCHL","School disengagement",-0.275965700492793,0.758838958117189,0.432098446048465,1.33265131967587,0.336803167959222,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","DNKA","Alcohol use",0.162505424852823,1.17645470052498,0.7772815250638,1.78062338774066,0.442190783943318,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","ESXC","Ever had sexual intercourse",0.883436477864139,2.4191989618273,1.46327758328286,3.99959903969564,0.00057301468567488,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","FDSC","Food insecurity",0.752274704922416,2.12182104810447,1.44928119510677,3.10645344421754,0.000109790984169321,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","GOVG","Lack of government grant receipt",0.338700421334453,1.40312293654621,0.925249857670914,2.12780791992544,0.110869262574834,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","VLNC","Violence exposure",0.442572423488397,1.55670658085222,1.05167072164547,2.30427198265726,0.026982093333824,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SCSP","Low social support",0.360939793208837,1.43467708097485,0.807680880832828,2.54840541050339,0.218194011773205,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SCHL","School disengagement",-0.27525882499382,0.759375552414685,0.42876701200155,1.34490577274873,0.345229413693165,2765,13508,2764.66500000003,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","DNKA","Alcohol use",0.281777585567564,1.32548388045475,0.986968874560537,1.78010427950696,0.0610932403004011,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","ESXC","Ever had sexual intercourse",0.779922256039107,2.18130267579608,1.55504078478528,3.05977914533742,6.2719891462015e-06,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","FDSC","Food insecurity",0.693657734466426,2.00102136852262,1.51666143084548,2.64006615837262,9.31412239157801e-07,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","GOVG","Lack of government grant receipt",0.243596995577307,1.27583006171264,0.941888096199839,1.7281695701825,0.115643751084932,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","VLNC","Violence exposure",0.624923862622012,1.86810371949847,1.41780438791582,2.4614195981817,8.9603601860288e-06,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","SCSP","Low social support",0.0116924286819699,1.01176105232442,0.645571461257423,1.58566555127261,0.959321514982357,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","SCHL","School disengagement",0.13537212625638,1.14496277579655,0.825295907248865,1.58844815107562,0.41768182999021,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","DNKA","Alcohol use",0.246639016229546,1.27971707229486,0.951705680206212,1.72077966873968,0.102598066324466,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","ESXC","Ever had sexual intercourse",0.531224105765375,1.7010132548418,1.14396062400923,2.52932315362994,0.00867842737852383,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","FDSC","Food insecurity",0.686056722737869,1.98586924033501,1.50556090299442,2.61940691463571,1.19589787032193e-06,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","GOVG","Lack of government grant receipt",0.158604974119977,1.1718749343086,0.865023662789863,1.58757606379422,0.305872805360976,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","VLNC","Violence exposure",0.671768090807013,1.95769564609307,1.47844574756468,2.5922981949421,2.74049831563524e-06,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","SCSP","Low social support",-0.0356440716013415,0.964983697468054,0.611247397214997,1.52343149536812,0.878396309264353,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","SCHL","School disengagement",-0.116564694524306,0.889972518765453,0.62420626246191,1.26889320372055,0.519513753941224,4028,19184,4027.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","DNKA","Alcohol use",0.244812298936079,1.27738152483008,0.949774529215494,1.71799043855703,0.105408893165984,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","ESXC","Ever had sexual intercourse",0.522557144284346,1.68633434115837,1.13312046544377,2.50963917508658,0.00999207143374195,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","FDSC","Food insecurity",0.678920241369067,1.97174757094964,1.49449590974244,2.60140456604917,1.57374104889952e-06,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","GOVG","Lack of government grant receipt",0.147181564880508,1.15856429852293,0.854145071895088,1.57147922288404,0.3439792711553,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","VLNC","Violence exposure",0.6681431108401,1.95061188559661,1.47281944840893,2.58340337122867,3.14759964843287e-06,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","SCSP","Low social support",-0.0461945803094373,0.954856147908673,0.60518887833975,1.50655488861634,0.842617191660734,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","SCHL","School disengagement",-0.13008703166599,0.878019012137785,0.613936162719815,1.25569632884981,0.476061336936044,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","DNKA","Alcohol use",0.27638506773908,1.31835542244067,0.972722212914254,1.78680099704059,0.0747963121089895,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","ESXC","Ever had sexual intercourse",0.491474404007182,1.63472468862269,1.09599819009059,2.43825658815337,0.0159798314726016,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","FDSC","Food insecurity",0.68564606940446,1.98505390393352,1.50432260810765,2.61941087655296,1.25851579369711e-06,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","GOVG","Lack of government grant receipt",0.133034132672114,1.14228898704095,0.839742759545145,1.55383790462428,0.396759221709258,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","VLNC","Violence exposure",0.611733268522621,1.8436241267213,1.39075780731422,2.44395530462117,2.10449767844509e-05,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SCSP","Low social support",0.023656468520084,1.02393850235517,0.64017328328676,1.63775978157417,0.921359617871702,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SCHL","School disengagement",-0.129053169054294,0.878927232573471,0.616700906648823,1.25265436102101,0.475294914329746,4019,19121,4018.0740000002,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","DNKA","Alcohol use",0.245660229184345,1.27846511460291,0.954380066053996,1.71260183169433,0.0995666268885528,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","ESXC","Ever had sexual intercourse",0.762635180530305,2.14391839517089,1.53211553534944,3.00002576770675,8.63133576472893e-06,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","FDSC","Food insecurity",0.743866420093364,2.10405496817649,1.60156817825687,2.76419534879029,9.14883427863185e-08,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","GOVG","Lack of government grant receipt",0.284194079292473,1.3286907770966,0.983479160947771,1.79507533178461,0.0641018428499589,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","VLNC","Violence exposure",0.660853055320117,1.9364435234739,1.4757401438158,2.54097141378031,1.86615576968252e-06,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","SCSP","Low social support",0.112143539741958,1.11867342321572,0.728289298235317,1.71831472855835,0.608568336624353,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","SCHL","School disengagement",0.144215679897532,1.15513322067438,0.83874705272333,1.59086431740429,0.377154949362116,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","DNKA","Alcohol use",0.206926006319917,1.22989156421086,0.916668368046633,1.6501423114887,0.16764537024271,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","ESXC","Ever had sexual intercourse",0.51141382238581,1.66764728607092,1.12658601195887,2.46856204605638,0.0105998240750847,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","FDSC","Food insecurity",0.732368203893363,2.08000064517478,1.58284435736516,2.73330897241807,1.47830186230262e-07,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","GOVG","Lack of government grant receipt",0.200292564590923,1.22176014963596,0.90365959753154,1.65183645181878,0.193033612578199,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","VLNC","Violence exposure",0.706493791858812,2.02687214976856,1.53733454306321,2.67229454385486,5.46915910406157e-07,4078,20435,4077.00300000024,"JPAES","Joint parental absence and socioeconomic status"
