model_code,response,response_label,path,hypothesis_id,hypothesis,role,window,reference_label,comparator_label,expected_direction,contrast_label,hypothesis_supported,effect_group,effect_type,term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,or_conf.low,or_conf.high,class,class_window,class_label,benchmark_class,benchmark_label,term_label,n_subjects,n_pseudo_rows,total_weight
ULWOM,ESXC,Ever had sexual intercourse,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class1,0.2537017352276937,0.17236083844854508,1.4719221460705028,0.14104190249412846,-0.08412550813145464,0.5915289785868421,1.2887873470710098,0.9193158672374426,1.806748784790998,1,Middle–Late Childhood (6–12 Years),Late-Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3211,15387,3210.6990010000063
ULWOM,ESXC,Ever had sexual intercourse,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Mid-Childhood Onset Maternal Absence,higher,H1: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class2,-0.052830292058653985,0.18487815541087885,-0.28575735159863713,0.7750639750719173,-0.4151914766639765,0.30953089254666855,0.9485409737596474,0.6602138530553028,1.3627856712445179,2,Middle–Late Childhood (6–12 Years),Mid-Childhood Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,3211,15387,3210.6990010000063
ULWOM,ESXC,Ever had sexual intercourse,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Declining Maternal Absence,higher,H1: Declining Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class3,0.2066294772181978,0.16246487529646136,1.2718409246376863,0.203429644996558,-0.11180167836286647,0.5250606327992621,1.2295269196366512,0.8942215834043752,1.6905613487385163,3,Middle–Late Childhood (6–12 Years),Declining Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence,3211,15387,3210.6990010000063
ULWOM,ESXC,Ever had sexual intercourse,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class4,0.08762209115742044,0.140067863038536,0.6255688439632546,0.5315977797049571,-0.18691092039811014,0.362155102712951,1.0915755280272623,0.8295176261942196,1.4364217175886929,4,Middle–Late Childhood (6–12 Years),Stable High Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence,3211,15387,3210.6990010000063
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class1,-0.23963659433632428,0.137631129887364,-1.7411511082735467,0.08165709472209602,-0.5093936089155577,0.030120420242909174,0.7869137780352464,0.600859824403983,1.0305786290104308,1,Early Childhood (0–5 Years),Late-Onset Maternal Absence,2,Stable Low Maternal Absence,Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class3,-0.03638320934121091,0.1364229161090249,-0.26669426500262317,0.7897045699081108,-0.30377212491489974,0.2310057062324779,0.9642707051311291,0.7380290257172517,1.2598664285194523,3,Early Childhood (0–5 Years),Stable High Maternal Absence,2,Stable Low Maternal Absence,Early: Stable High Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,"Early Peak, Declining Maternal Absence",higher,"H1: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,Two-window class history,early_class,early_class4,-0.04732304084229797,0.1108140701598227,-0.42704902702378716,0.6693436186017476,-0.26451861835555046,0.1698725366709545,0.9537792381705468,0.7675753577436124,1.1851537780464383,4,Early Childhood (0–5 Years),"Early Peak, Declining Maternal Absence",2,Stable Low Maternal Absence,"Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class1,-0.046421890213118856,0.14925439210748445,-0.31102528748158026,0.7557813977428403,-0.3389604987437884,0.2461167183175507,0.954639124316402,0.7125105935968276,1.2790488532599475,1,Middle–Late Childhood (6–12 Years),Late-Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Mid-Childhood Onset Maternal Absence,higher,H1: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class2,0.009926768930767504,0.15430992200577914,0.06433007548533225,0.9487074062702622,-0.2925206782005596,0.3123742160620946,1.0099762027387311,0.7463798110848818,1.3666660257274046,2,Middle–Late Childhood (6–12 Years),Mid-Childhood Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,FDSC,Food insecurity,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Declining Maternal Absence,higher,H1: Declining Maternal Absence vs Stable Low Maternal Absence,TRUE,Two-window class history,mid_class,mid_class3,0.2869972064019138,0.12792159690617588,2.2435398974296104,0.024862020056006233,0.036270876465809065,0.5377235363380185,1.3324204912231423,1.0369366901981396,1.7121048779671244,3,Middle–Late Childhood (6–12 Years),Declining Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
