"adjustment_code","adjustment_label","term","vif","model_code","model_label"
"sex_age","Sex + age","RURALYes",1.01483120085344,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","CLYR",1.20854464232376,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","SEXMale",1.11753648691826,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","AGE",1.09529466743928,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","RURALYes",1.01483120085344,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","CLYR",1.20854464232376,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SEXMale",1.11753648691826,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","AGE",1.09529466743928,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","RURALYes",1.01483120085344,"JPAES","Joint parental absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","CLYR",1.20854464232376,"JPAES","Joint parental absence and socioeconomic status"
