model_code,model_label,pathway_label,adjustment_code,adjustment_label,estimate,odds_ratio,p.value,abs_log_or,previous_abs_log_or,attenuation_step,attenuation_label,significant
JMAES,Joint maternal absence and socioeconomic status,Violence exposure,sex_age_rural_clyr,Sex + age + rural + calendar year,0.6117332685226208,1.8436241267213034,2.1044976784450908e-5,0.6117332685226208,0.6681431108401004,0.056409842317479586,8% reduction in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Alcohol use,sex_only,Sex only,0.24566022918434502,1.278465114602909,0.0995666268885528,0.24566022918434502,-,-,Starting model,FALSE
JPAES,Joint parental absence and socioeconomic status,Alcohol use,sex_age,Sex + age,0.20692600631991695,1.2298915642108628,0.16764537024270976,0.20692600631991695,0.24566022918434502,0.03873422286442807,16% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Alcohol use,sex_age_rural,Sex + age + rural,0.20414240899241354,1.2264728017760933,0.17417555028443416,0.20414240899241354,0.20692600631991695,0.002783597327503412,1% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Alcohol use,sex_age_rural_clyr,Sex + age + rural + calendar year,0.2398488793740156,1.2710570528693352,0.1195306712077618,0.2398488793740156,0.20414240899241354,-0.03570647038160207,17% increase in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Ever had sexual intercourse,sex_only,Sex only,0.7626351805303048,2.1439183951708896,8.63133576472893e-6,0.7626351805303048,-,-,Starting model,TRUE
JPAES,Joint parental absence and socioeconomic status,Ever had sexual intercourse,sex_age,Sex + age,0.5114138223858098,1.667647286070916,0.010599824075084722,0.5114138223858098,0.7626351805303048,0.251221358144495,33% reduction in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Ever had sexual intercourse,sex_age_rural,Sex + age + rural,0.5026201233327009,1.6530467879904263,0.012314733016671372,0.5026201233327009,0.5114138223858098,0.008793699053108894,2% reduction in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Ever had sexual intercourse,sex_age_rural_clyr,Sex + age + rural + calendar year,0.4708439022291215,1.6013450017786086,0.019458877294491906,0.4708439022291215,0.5026201233327009,0.031776221103579416,6% reduction in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Food insecurity,sex_only,Sex only,0.743866420093364,2.1040549681764875,9.148834278631849e-8,0.743866420093364,-,-,Starting model,TRUE
