"Exposure family","Adjustment set","Role","Window","Contrast","N","Reference risk","Comparator risk","Risk difference, percentage points (95% CI)","Direction supported"
"Maternal absence","Context-adjusted model","Secondary","Early childhood","Late-Onset Maternal Absence vs Stable High Maternal Absence","1,364","2.9%","2.2%","-0.64 (-3.55, 1.53)","Yes"
"Maternal absence","Context-adjusted model","Secondary","Middle-late childhood","Declining Maternal Absence vs Stable High Maternal Absence","1,364","6.2%","7.2%","0.96 (-9.28, 10.89)","No"
"Maternal absence","Context-adjusted model","Secondary","Middle-late childhood","Late-Onset Maternal Absence vs Stable High Maternal Absence","1,364","6.2%","3.6%","-2.68 (-12.20, 2.53)","Yes"
"Maternal absence","Context-adjusted model","Secondary","Middle-late childhood","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","1,364","6.2%","1.9%","-4.29 (-13.33, 1.35)","Yes"
"Household socioeconomic status","Base model","Primary","Early childhood","Chronic Low SES vs Stable Higher SES","1,365","3.2%","3.3%","0.09 (-6.00, 4.07)","Yes"
"Household socioeconomic status","Base model","Primary","Early childhood","Improving from Low SES vs Stable Higher SES","1,365","3.2%","2.7%","-0.55 (-5.83, 4.58)","No"
"Household socioeconomic status","Base model","Primary","Early childhood","Late Improvement from Chronic Low SES vs Stable Higher SES","1,365","3.2%","3.1%","-0.16 (-5.90, 4.25)","No"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Chronic Low SES vs Minimal Low SES","1,365","2.6%","5.2%","2.60 (-2.20, 8.08)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Improving from More Severe Low SES vs Minimal Low SES","1,365","2.6%","4.1%","1.44 (-2.97, 6.64)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Late Improvement from Chronic Low SES vs Minimal Low SES","1,365","2.6%","4.6%","1.95 (-3.25, 8.61)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Persistent Moderate Low SES vs Minimal Low SES","1,365","2.6%","5.3%","2.64 (-2.40, 8.69)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Chronic Low SES vs Stable Higher SES","1,365","1.6%","5.2%","3.63 (-1.02, 10.31)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Improving from More Severe Low SES vs Stable Higher SES","1,365","1.6%","4.1%","2.47 (-2.70, 7.86)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Late Improvement from Chronic Low SES vs Stable Higher SES","1,365","1.6%","4.6%","2.97 (-2.43, 10.16)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Persistent Moderate Low SES vs Stable Higher SES","1,365","1.6%","5.3%","3.66 (-1.10, 9.92)","Yes"
"Household socioeconomic status","Base model","Primary","Early childhood","Chronic Low SES vs Improving from Low SES","1,365","2.7%","3.3%","0.64 (-2.00, 2.62)","Yes"
"Household socioeconomic status","Base model","Primary","Early childhood","Chronic Low SES vs Late Improvement from Chronic Low SES","1,365","3.1%","3.3%","0.24 (-2.31, 2.99)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Chronic Low SES vs Early Improvement from Mild Low SES","1,365","2.5%","5.2%","2.76 (-2.65, 8.83)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Persistent Moderate Low SES vs Early Improvement from Mild Low SES","1,365","2.5%","5.3%","2.80 (-2.76, 8.84)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Chronic Low SES vs Improving from More Severe Low SES","1,365","4.1%","5.2%","1.16 (-4.98, 6.92)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Persistent Moderate Low SES vs Improving from More Severe Low SES","1,365","4.1%","5.3%","1.20 (-5.10, 7.76)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Chronic Low SES vs Late Improvement from Chronic Low SES","1,365","4.6%","5.2%","0.66 (-6.00, 6.92)","Yes"
"Household socioeconomic status","Base model","Primary","Middle-late childhood","Persistent Moderate Low SES vs Late Improvement from Chronic Low SES","1,365","4.6%","5.3%","0.70 (-6.24, 7.59)","Yes"
"Household socioeconomic status","Base model","Secondary","Early childhood","Improving from Low SES vs Chronic Low SES","1,365","3.3%","2.7%","-0.64 (-2.62, 2.00)","Yes"
"Household socioeconomic status","Base model","Secondary","Early childhood","Late Improvement from Chronic Low SES vs Chronic Low SES","1,365","3.3%","3.1%","-0.24 (-2.99, 2.31)","Yes"
"Household socioeconomic status","Base model","Secondary","Early childhood","Improving from Low SES vs Stable Higher SES","1,365","3.2%","2.7%","-0.55 (-5.83, 4.58)","No"
"Household socioeconomic status","Base model","Secondary","Early childhood","Late Improvement from Chronic Low SES vs Stable Higher SES","1,365","3.2%","3.1%","-0.16 (-5.90, 4.25)","No"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Early Improvement from Mild Low SES vs Chronic Low SES","1,365","5.2%","2.5%","-2.76 (-8.83, 2.65)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Improving from More Severe Low SES vs Chronic Low SES","1,365","5.2%","4.1%","-1.16 (-6.92, 4.98)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Late Improvement from Chronic Low SES vs Chronic Low SES","1,365","5.2%","4.6%","-0.66 (-6.92, 6.00)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Early Improvement from Mild Low SES vs Minimal Low SES","1,365","2.6%","2.5%","-0.16 (-4.10, 4.21)","No"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Improving from More Severe Low SES vs Minimal Low SES","1,365","2.6%","4.1%","1.44 (-2.97, 6.64)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Late Improvement from Chronic Low SES vs Minimal Low SES","1,365","2.6%","4.6%","1.95 (-3.25, 8.61)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Early Improvement from Mild Low SES vs Stable Higher SES","1,365","1.6%","2.5%","0.86 (-2.86, 4.79)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Improving from More Severe Low SES vs Stable Higher SES","1,365","1.6%","4.1%","2.47 (-2.70, 7.86)","Yes"
"Household socioeconomic status","Base model","Secondary","Middle-late childhood","Late Improvement from Chronic Low SES vs Stable Higher SES","1,365","1.6%","4.6%","2.97 (-2.43, 10.16)","Yes"
"Household socioeconomic status","Context-adjusted model","Primary","Early childhood","Chronic Low SES vs Stable Higher SES","1,364","3.5%","3.2%","-0.29 (-6.13, 6.36)","No"
"Household socioeconomic status","Context-adjusted model","Primary","Early childhood","Improving from Low SES vs Stable Higher SES","1,364","3.5%","2.7%","-0.76 (-6.92, 5.55)","No"
"Household socioeconomic status","Context-adjusted model","Primary","Early childhood","Late Improvement from Chronic Low SES vs Stable Higher SES","1,364","3.5%","3.2%","-0.30 (-6.57, 7.21)","No"
"Household socioeconomic status","Context-adjusted model","Primary","Middle-late childhood","Chronic Low SES vs Minimal Low SES","1,364","2.6%","5.9%","3.26 (-2.17, 10.94)","Yes"
"Household socioeconomic status","Context-adjusted model","Primary","Middle-late childhood","Improving from More Severe Low SES vs Minimal Low SES","1,364","2.6%","4.0%","1.42 (-3.53, 8.58)","Yes"
"Household socioeconomic status","Context-adjusted model","Primary","Middle-late childhood","Late Improvement from Chronic Low SES vs Minimal Low SES","1,364","2.6%","4.9%","2.33 (-3.55, 10.20)","Yes"
"Household socioeconomic status","Context-adjusted model","Primary","Middle-late childhood","Persistent Moderate Low SES vs Minimal Low SES","1,364","2.6%","4.9%","2.33 (-2.47, 8.63)","Yes"
"Household socioeconomic status","Context-adjusted model","Primary","Middle-late childhood","Chronic Low SES vs Stable Higher SES","1,364","1.4%","5.9%","4.44 (-0.56, 12.53)","Yes"
"Household socioeconomic status","Context-adjusted model","Primary","Middle-late childhood","Improving from More Severe Low SES vs Stable Higher SES","1,364","1.4%","4.0%","2.59 (-1.89, 11.42)","Yes"
